path,Lat,Long,Time
/OpenCamera/IMG_20230319_061934_DRO.jpg,-12.1139001846,-76.9364624023,40765
/OpenCamera/IMG_20230319_062007_DRO.jpg,-12.1141004562,-76.9366683959,40795
/OpenCamera/IMG_20230319_062034_DRO.jpg,-12.1144199371,-76.9371871948,40825
/OpenCamera/IMG_20230319_062102_DRO.jpg,-12.1147603988,-76.9375686645,40855
/OpenCamera/IMG_20230319_062135_DRO.jpg,-12.1150903701,-76.9379501342,40885
/OpenCamera/IMG_20230319_062202_DRO.jpg,-12.1154298782,-76.9383392333,40915
/OpenCamera/IMG_20230319_062231_DRO.jpg,-12.1157999038,-76.9387512207,40945
/OpenCamera/IMG_20230319_062257_DRO.jpg,-12.1160497665,-76.9391937255,40975
/OpenCamera/IMG_20230319_062336_DRO.jpg,-12.115699768,-76.9395599365,41005
/OpenCamera/IMG_20230319_062402_DRO.jpg,-12.1153297424,-76.9399032592,41035
/OpenCamera/IMG_20230319_062436_DRO.jpg,-12.1149301528,-76.940246582,41065
/OpenCamera/IMG_20230319_062503_DRO.jpg,-12.1144895553,-76.9406204223,41095
/OpenCamera/IMG_20230319_062535_DRO.jpg,-12.114080429,-76.9409713745,41125
/OpenCamera/IMG_20230319_062607_DRO.jpg,-12.1136903762,-76.9412765502,41155
/OpenCamera/IMG_20230319_062632_DRO.jpg,-12.1132698059,-76.9415893554,41185
/OpenCamera/IMG_20230319_062704_DRO.jpg,-12.1127996444,-76.9418029785,41215
/OpenCamera/IMG_20230319_062737_DRO.jpg,-12.1123104095,-76.9420089721,41245
/OpenCamera/IMG_20230319_062804_DRO.jpg,-12.1118297576,-76.9422073364,41275
/OpenCamera/IMG_20230319_062835_DRO.jpg,-12.1113595962,-76.9423370361,41305
/OpenCamera/IMG_20230319_062903_DRO.jpg,-12.110879898,-76.9425277709,41335
/OpenCamera/IMG_20230319_062935_DRO.jpg,-12.1104001998,-76.9427490234,41365
/OpenCamera/IMG_20230319_063007_DRO.jpg,-12.1099596023,-76.942993164,41395
/OpenCamera/IMG_20230319_063034_DRO.jpg,-12.1095104217,-76.9431762695,41425
/OpenCamera/IMG_20230319_063106_DRO.jpg,-12.1090898513,-76.9434280395,41455
/OpenCamera/IMG_20230319_063132_DRO.jpg,-12.1086797714,-76.9437408447,41485
/OpenCamera/IMG_20230319_063205_DRO.jpg,-12.1083202362,-76.944152832,41515
/OpenCamera/IMG_20230319_063231_DRO.jpg,-12.1079597473,-76.9446334838,41545
/OpenCamera/IMG_20230319_063305_DRO.jpg,-12.1076602935,-76.9451293945,41575
/OpenCamera/IMG_20230319_063331_DRO.jpg,-12.1073598861,-76.9455337524,41605
/OpenCamera/IMG_20230319_063404_DRO.jpg,-12.107049942,-76.9459533691,41635
/OpenCamera/IMG_20230319_063437_DRO.jpg,-12.1066799163,-76.9463729858,41665
/OpenCamera/IMG_20230319_063502_DRO.jpg,-12.1062698364,-76.9467010498,41695
/OpenCamera/IMG_20230319_063536_DRO.jpg,-12.1057996749,-76.9469833374,41725
/OpenCamera/IMG_20230319_063604_DRO.jpg,-12.10531044,-76.9472732543,41755
/OpenCamera/IMG_20230319_063636_DRO.jpg,-12.1048402786,-76.9475097656,41785
/OpenCamera/IMG_20230319_063704_DRO.jpg,-12.1043901443,-76.9477767944,41815
/OpenCamera/IMG_20230319_063737_DRO.jpg,-12.1041402816,-76.9481124877,41845
/OpenCamera/IMG_20230319_063802_DRO.jpg,-12.1037797927,-76.9481735229,41875
/OpenCamera/IMG_20230319_063835_DRO.jpg,-12.1033802032,-76.9484863281,41905
/OpenCamera/IMG_20230319_063902_DRO.jpg,-12.1029996871,-76.9487915039,41935
/OpenCamera/IMG_20230319_063935_DRO.jpg,-12.1026201248,-76.9490890502,41965
/OpenCamera/IMG_20230319_064001_DRO.jpg,-12.1021795272,-76.94921875,41995
/OpenCamera/IMG_20230319_064035_DRO.jpg,-12.1017198562,-76.9493331909,42025
/OpenCamera/IMG_20230319_064101_DRO.jpg,-12.1012201309,-76.9495773315,42055
/OpenCamera/IMG_20230319_064135_DRO.jpg,-12.1007204055,-76.9497909545,42085
/OpenCamera/IMG_20230319_064207_DRO.jpg,-12.1002702713,-76.950012207,42115
/OpenCamera/IMG_20230319_064233_DRO.jpg,-12.0997695922,-76.9502334594,42145
